20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
神品血脉	29	5093.46821	3.49213	1.93719	3.49213	1.93719
弥漫开来	29	164.27124	3.92627	1.66991	3.92627	1.66991
大部队	29	595.68982	4.56611	4.08822	4.08822	4.56611
刀疤男子	29	2608.14451	3.82350	2.97809	2.97809	3.82350
眼芒闪烁	29	1743.62062	3.00279	1.56607	3.00279	1.56607
高级半圣	29	895.31885	3.60403	1.87446	3.60403	1.87446
第三更	29	570.62577	3.57262	1.51312	3.57262	1.51312
通体呈	29	2975.64738	4.11626	3.87421	3.87421	4.11626
还手之力	29	2918.39266	2.20647	2.18039	2.20647	2.18039
极高	29	859.92819	1.92362	1.87057	1.92362	1.87057
身后不远处	29	124.01993	4.30626	2.23358	4.30626	2.23358
一道道惊呼	29	473.08602	2.82572	1.59211	2.82572	1.59211
下方广场	29	90.99152	3.72141	2.82282	3.72141	2.82282
最为清楚	29	108.33214	3.73284	2.18742	3.73284	2.18742
天阶功法	29	734.07437	3.50759	2.74548	3.50759	2.74548
塔中修炼	29	299.47590	2.25220	1.91089	2.25220	1.91089
第二曰	29	213.65931	3.03699	2.75341	2.75341	3.03699
古凰血精	29	40265.93112	3.74541	2.99276	3.74541	2.99276
压抑住	29	1231.60061	3.29646	2.85434	2.85434	3.29646
红袍老者	29	1131.29266	3.96143	3.70347	3.70347	3.96143
同时间	28	171.84645	3.69445	1.52797	1.52797	3.69445
猛然睁开	28	112.53981	2.84990	1.51933	2.84990	1.51933
为敌	28	1249.26281	4.18201	2.42083	4.18201	2.42083
本源之火	28	3697.54859	3.30544	2.51032	2.51032	3.30544
响彻不休	28	1374.50677	3.93719	1.63397	3.93719	1.63397
再像	28	185.11842	3.13562	2.95113	2.95113	3.13562
那个神秘	28	109.14110	3.40874	2.49054	3.40874	2.49054
海老先生	28	5665.76914	3.61863	2.07039	2.07039	3.61863
洪水般	28	1115.70346	3.23892	1.62534	1.62534	3.23892
翡翠般的	28	357.99965	4.06611	3.35583	3.35583	4.06611
黑山要塞	28	16897.47480	3.86933	3.68009	3.68009	3.86933
还不如	28	184.15250	4.66450	1.57741	1.57741	4.66450
要不了多久	28	12573.64613	2.13547	1.99064	2.13547	1.99064
提升一星	28	1777.83060	3.92325	2.59307	3.92325	2.59307
紫黑色火焰	28	249.04532	3.02970	2.79120	2.79120	3.02970
化为粉末	28	271.36155	3.99468	1.75534	3.99468	1.75534
那个层次	28	104.93325	3.72291	2.01747	3.72291	2.01747
毒宗强者	28	94.99930	4.09307	3.79790	3.79790	4.09307
不再理会	28	423.04603	4.11058	3.07060	3.07060	4.11058
顺着经脉	28	321.07453	4.01219	3.86576	4.01219	3.86576
不死不休	28	409.71761	3.76381	2.22234	3.76381	2.22234
剧烈波动	28	94.89368	3.61946	2.04931	3.61946	2.04931
转斗尊巅峰	28	3942.04703	2.24780	1.84319	1.84319	2.24780
周遭空间	28	144.22528	3.79284	2.69837	2.69837	3.79284
十一章 	28	1931.57914	4.73593	2.63376	2.63376	4.73593
有些失神	28	115.98568	3.51378	1.71366	3.51378	1.71366
岩浆湖泊	28	955.27926	2.88684	2.09207	2.88684	2.09207
